fips,median_age,white_pct,black_pct,hispanic_pct
02020,34.9,58.3,5.3,13.4
02050,28.7,8.7,1.2,87.8
02060,39.3,48.2,0.6,33.7
02063,38.4,72.6,1.4,10.1
02066,45.5,53.4,0.1,43.0
02068,44.1,78.3,1.0,6.4
02070,30.9,15.3,0.6,81.1
02090,32.4,70.4,3.8,12.0
02100,52.4,79.2,0.2,10.0
02105,51.4,51.1,0.9,41.0
02110,39.8,63.5,0.7,18.9
02122,41.5,79.1,0.6,12.8
02130,40.8,63.5,0.4,21.6
02150,35.4,50.9,0.6,17.2
02158,23.6,3.2,0.9,93.8
02164,33.4,16.4,2.3,78.6
02170,36.6,78.3,1.3,12.0
02180,29.4,14.1,1.0,81.8
02185,35.2,31.6,2.6,54.0
02188,28.3,10.4,0.6,85.2
02195,45.7,61.7,1.5,15.0
02198,43.7,44.5,0.4,50.7
02220,39.6,61.5,0.4,21.1
02230,42.5,70.2,2.2,6.0
02240,37.9,76.1,0.9,17.9
02275,44.3,55.1,0.1,33.3
